"date","title","type","nr","tech","draw_on"
"2017-07-25","Wonder Woman","Portraits",1,"Colored Pencils","Paper A3"
"2017-06-06","Parrot","Animals",1,"Colored Pencils","Paper A3"
"2017-03-01","Legolas","Portraits",1,"Colored Pencils","Paper A4"
"2017-02-26","Son Goku","Portraits",1,"Colored Pencils","Paper A3"
"2017-01-24","Thor","Portraits",1,"Colored Pencils","Paper A3"
"2017-03-01","Batman","Portraits",1,"Colored Pencils","Paper A3"
"2016-12-15","Rapunzel(Tangled)","Portraits",1,"Colored Pencils","Paper A4"
"2016-03-07","Lamborghini","Cars",1,"Acrilic","Canvas"
"2016-01-07","Night","Landscape",1,"Photoshop","Digital"
"2015-12-07","Ferrari","Cars",1,"Photoshop","Digital"
"2015-02-25","Elsa(Frozen)","Portraits",1,"Photoshop","Digital"
"2014-07-20","Car","Cars",1,"Colored Pencils","Paper A3"
"2014-05-11","Mercedes SLS","Cars",1,"Pencils","Paper A4"
"2017-12-30","Aquaman","Portraits",1,"Colored Pencils","Paper A4"
"2017-11-19","Friend","Portraits",1,"Colored Pencils","Paper A3"
"2017-10-06","Margot Robbie","Portraits",1,"Colored Pencils","Paper A3"
"2017-09-05","Flower","Others",1,"Colored Pencils","Paper A4"
"2017-07-18","Church","Landscape",1,"Acrilic","Canvas"
"2017-06-10","Butterfly","Animals",1,"Colored Pencils","Paper A3"
"2017-11-24","Mercury","Others",1,"Colored Pencils","Paper A3"
"2016-06-18","Ferrari 2","Cars",1,"Colored Pencils","Paper A4"
"2016-01-02","Jack Sparrow","Portraits",1,"Colored Pencils","Paper A4"
"2015-08-18","Mercedes Light","Cars",1,"Photoshop","Digital"
"2016-02-07","Fantasy","Others",1,"Photoshop","Digital"